Yr Built or Remod,Lot Size House Sqft,Overall Qual Sq,Garage Total
3876961,15845408,36,1032.0
3995992,30467640,49,1216.0
3976036,14027860,49,990.0
3916441,10772630,25,800.0
3857296,16257024,25,968.0
4026042,4054973,64,968.0
3841600,17425056,36,960.0
3825936,8001300,25,792.0
4020025,11415593,81,1112.0
3980025,27311794,64,2175.0
4016016,29015484,81,2010.0
3843840,5504290,16,0.0
3965832,27203880,64,1100.0
3705000,7485424,9,0.0
4006002,23941849,36,1120.0
3888784,15640230,25,1002.0
4000000,3663682,49,980.0
3736200,21521520,36,216.0
3829849,54743760,36,1100.0
4012009,4273128,49,948.0
3781050,9980548,25,800.0
3876880,17550324,25,286.0
3844560,9815520,25,720.0
3849444,11160000,36,880.0
3796650,5940000,4,0.0
3952044,18927216,36,958.0
3837681,26028830,25,1056.0
4000000,7805070,81,990.0
3841600,18125572,25,1252.0
3988009,27211464,36,940.0
3819860,13851372,25,0.0
3825936,10517500,25,304.0
3845521,9825660,25,1144.0
3757650,9210880,25,720.0
3796650,4494000,25,240.0
3908529,72339968,81,2592.0
4016016,12805184,64,806.0
3844680,19822880,49,1737.0
3990006,12562950,36,800.0
3869089,9936000,25,288.0
3908529,2668095,49,880.0
3889634,14601600,25,1440.0
3908529,3420144,36,880.0
3972049,18644274,64,946.0
3753750,4841856,25,0.0
3892729,1658160,36,264.0
3742500,6468840,25,0.0
4024036,7132860,64,1254.0
4024036,61230180,100,2274.0
3841208,20124000,36,0.0
3806401,16535232,16,800.0
4000000,16354962,36,862.0
3943620,7172880,25,260.0
3904092,11163300,25,366.0
4040100,18225554,64,2556.0
3765450,8530080,36,560.0
4012009,14032522,49,1344.0
3924361,17191980,36,1152.0
4000000,16257492,49,972.0
3734250,15880428,16,1144.0
3939864,11995200,25,1312.0
4022030,46048608,81,2148.0
3829849,12415200,36,884.0
3982020,22443750,49,1220.0
3886630,6871920,25,297.0
4020025,16198416,36,776.0
3948169,4456004,64,922.0
3857296,15723360,36,884.0
3880900,9478080,16,1152.0
3906172,12373596,25,447.0
3849426,35880024,25,1152.0
3952144,16637859,49,1238.0
3747900,6384000,25,0.0
4014012,3980448,49,948.0
3829849,5793600,25,308.0
3904576,2882304,25,336.0
3755700,6332700,49,288.0
3912484,3298449,36,880.0
3784950,11254320,16,280.0
3936256,8332400,25,1012.0
3818116,8771264,25,319.0
3744000,12177600,36,1152.0
4038090,11223870,49,1352.0
3874290,15585120,25,312.0
3912484,19019880,49,956.0
3778110,26946000,49,684.0
4010006,11862249,36,786.0
3849444,12684672,25,288.0
3974042,25490556,49,2949.0
3884841,1658160,36,264.0
4014012,9580066,16,880.0
3906172,9155052,36,1846.0
3900625,10890360,25,990.0
3810304,10690072,1,974.0
4012009,14423344,49,1086.0
4020025,9495000,49,906.0
3984000,30667216,64,1082.0
4028049,22334784,64,2262.0
3865156,30629400,49,974.0
4024036,32040288,64,1998.0
4022030,44832354,81,2010.0
3904576,34971552,64,1058.0
3908529,15386373,36,1428.0
3904576,14248000,49,958.0
3876961,30667662,25,3872.0
4022030,18515550,64,2262.0
4034072,10625600,49,2364.0
3734250,10465836,36,1056.0
4028049,13130208,49,800.0
4012009,32225024,100,2904.0
3880900,1520736,16,297.0
4032064,22083021,100,2436.0
3992004,25734150,49,1800.0
3784950,11732688,49,240.0
4028049,11230128,49,800.0
3833280,6489600,25,1248.0
3740100,58830080,36,2592.0
3884805,19339200,25,1056.0
4014012,4976172,49,840.0
3908529,12046320,36,1082.0
3880900,11285964,36,960.0
4028049,10760120,49,966.0
4034072,11477948,49,1058.0
3931889,8869440,25,300.0
3873024,12012624,25,336.0
4018020,4037958,64,860.0
3913760,7862406,25,230.0
3796200,5045760,16,280.0
3814209,18300800,36,1010.0
3779100,6014970,25,240.0
4022030,13269000,36,1128.0
3845521,11191950,25,368.0
3976036,35221196,64,1236.0
3871000,16902000,36,1128.0
3998000,11082500,49,800.0
4014012,13869300,25,1152.0
3996001,5508000,36,804.0
4024035,28039792,81,1968.0
3784950,8429455,25,1056.0
3853369,30280800,36,1316.0
4032064,14924838,81,3156.0
3954132,15391800,36,1200.0
3772550,16397350,49,1926.0
3940225,12810440,49,1056.0
4020025,11178442,49,800.0
3823820,14493600,25,0.0
3900369,36347304,36,1020.0
3873024,27846000,36,509.0
3857296,9009000,36,1008.0
3761550,13652070,49,902.0
3907904,17927424,25,1138.0
3810304,17633392,25,240.0
4022030,10319874,36,920.0
4030056,9135000,49,924.0
3749850,6536160,36,288.0
3916441,38317500,36,1152.0
3948169,9375702,49,1008.0
3908000,8496600,36,286.0
3829849,7793851,16,352.0
3781050,9351615,4,256.0
3980025,29834429,64,2253.0
3865156,11969100,25,1008.0
3777150,4423092,16,231.0
4006002,18288223,64,1340.0
4022030,11719392,49,1004.0
3850900,12631968,16,880.0
3818116,9368540,25,0.0
4002000,15552240,49,862.0
3743000,18034885,9,840.0
3798600,8496000,36,312.0
3814040,6987100,9,0.0
3889700,3628800,16,308.0
3873024,20855640,25,257.0
3814209,8853600,16,286.0
3783000,3773640,16,0.0
3968064,12618900,36,1058.0
3865156,9531000,25,286.0
3857296,14370495,16,880.0
4004001,13599450,49,1300.0
4020025,3816000,49,960.0
4012009,44253190,64,2385.0
3936256,10734871,25,990.0
4024036,22681568,36,858.0
3903900,6220800,25,1440.0
3954042,27030198,36,870.0
3825936,13700000,25,300.0
4008004,7357700,36,0.0
4022030,4948010,49,860.0
3920400,3034200,36,904.0
3888784,6791400,25,922.0
3744000,10189077,25,990.0
4030056,14817600,81,2832.0
3900625,3319680,36,880.0
4008004,14832100,49,986.0
3968064,13523250,49,784.0
3936256,16856150,36,1104.0
4032064,27359768,81,2340.0
3964081,17656650,25,1344.0
4020025,13150800,49,924.0
3990006,9488640,49,3136.0
3880900,19553072,25,2784.0
3825936,11206734,16,263.0
3920256,19568640,49,974.0
4016016,3753248,36,840.0
3900625,2405400,49,880.0
3986012,3727117,36,862.0
3861784,6134400,36,968.0
3892729,1576848,16,297.0
3907745,23758800,25,295.0
4016016,16092864,49,1144.0
3980025,13708296,64,954.0
3833764,17595000,25,356.0
3784950,18768000,49,234.0
3818116,9261168,16,312.0
3833764,18960843,36,312.0
3900625,8504325,25,880.0
3802500,7064400,16,294.0
3796650,9840000,36,1298.0
3738150,19756800,36,792.0
3936256,7907040,64,1130.0
4010006,26539960,64,2145.0
3884841,29502379,36,990.0
3744000,10283100,16,280.0
4026042,12593750,49,876.0
3849444,23189408,25,349.0
3880900,1674036,16,286.0
4020025,13416816,81,1152.0
4024036,30398116,81,2025.0
4028049,21461400,81,1404.0
3974042,21991970,49,2349.0
3784950,17078756,25,1320.0
4016016,14863941,49,866.0
4032064,12113280,49,1250.0
3936256,9266489,25,288.0
3873024,10089600,25,1008.0
3744000,7397490,36,216.0
3892729,15311376,25,1012.0
3904576,4721024,36,880.0
3970056,40969776,64,1092.0
3873024,7775040,25,1372.0
3825730,6702500,25,1104.0
3973952,22584120,36,954.0
4022030,34983810,100,4600.0
3820504,25368992,36,882.0
3822420,13654096,25,0.0
3996001,18035300,49,780.0
3866130,5622240,36,162.0
3872975,52654986,16,5424.0
4028049,22967960,64,2640.0
3944196,4021248,64,922.0
3837681,7862400,25,286.0
3838308,15909184,36,180.0
3884841,1658160,36,264.0
3833764,11368290,36,264.0
4016016,4310098,49,760.0
3970056,16219470,36,924.0
3931965,9836160,16,364.0
3900625,17809200,36,868.0
4026042,17924870,64,2685.0
3964081,13345150,25,1152.0
3783000,7176000,36,1152.0
3893946,3013120,16,220.0
3822025,10589940,25,305.0
3798600,25519374,36,330.0
3853369,9800784,36,860.0
4028049,21376632,81,2322.0
3795530,12925220,9,0.0
3874000,7056000,36,1248.0
3908045,11118583,25,288.0
3980025,22053381,64,2517.0
3884825,10421918,25,300.0
4022030,37657732,81,2442.0
3744000,4827480,9,250.0
3864000,6840000,25,281.0
4028049,18241860,64,2556.0
3810304,11800200,25,1440.0
3849444,6327360,25,288.0
3784950,7974008,25,240.0
3853369,9813600,25,1050.0
4038090,23621904,64,2040.0
3857296,15824200,36,882.0
3848960,22837500,49,240.0
3853369,7990150,25,968.0
4000000,14252810,49,800.0
3805700,15033600,64,288.0
3814209,12135300,25,800.0
3837681,9338472,25,796.0
3845521,11028600,25,902.0
3892729,30346173,49,1032.0
3832320,7999200,25,288.0
3833764,9360000,25,1248.0
3992004,18263472,36,920.0
3728400,12304080,36,0.0
3818116,6287760,36,280.0
3920400,17264640,36,1224.0
4020025,15036024,49,1152.0
3888784,6220800,25,297.0
4024036,21276720,49,2622.0
3922224,17786535,25,880.0
3904576,12747152,36,2664.0
3912484,16984860,36,1078.0
3938240,10610184,36,960.0
4022030,30828850,81,2010.0
3904576,8733823,36,1344.0
3675750,25968600,16,1120.0
3888784,1592640,36,264.0
3783000,5514919,36,231.0
3873024,13478400,36,824.0
4038090,30010572,81,2253.0
3841600,11755200,25,922.0
3916441,8590032,25,1056.0
3753750,9075101,36,300.0
3904576,9521100,25,308.0
4000000,3330041,36,880.0
4008004,30712500,64,2268.0
4000000,12767562,36,788.0
3884841,2046240,36,0.0
3818116,8322000,25,256.0
3744000,11194500,16,250.0
3839484,9325110,36,0.0
3697200,8293824,16,330.0
3904576,8811621,36,504.0
3792700,5368200,25,924.0
3783000,14741100,36,240.0
4030056,22559628,81,2304.0
3835260,29217096,49,996.0
3932289,8014270,25,968.0
4024036,13241215,36,880.0
3986012,19565608,25,808.0
3745950,9649920,36,228.0
3994002,12270000,36,880.0
4016016,15137376,36,1152.0
4026042,17539776,64,2610.0
3777150,12729600,25,240.0
3930000,13772000,36,299.0
3770580,19094400,49,640.0
3806401,12564000,25,0.0
3912484,14263344,36,968.0
3996001,36751552,49,1974.0
3972049,7213115,64,924.0
4016016,5625710,49,960.0
4008004,19239663,64,1154.0
3744000,3679200,4,246.0
3904576,12501366,25,1008.0
4012009,25375935,49,1192.0
3970056,11342972,49,840.0
3792750,8616200,36,440.0
3822025,6958080,16,0.0
3947728,23027065,36,1084.0
3816960,13338000,49,648.0
4026042,14133552,49,866.0
3918310,59238400,25,2484.0
3932289,5295840,25,264.0
3745950,10380960,49,312.0
3951888,11051088,49,968.0
3849444,7175000,25,0.0
3880900,16895914,36,1230.0
4000000,21671584,64,1008.0
3992004,21813750,49,1665.0
4020025,12742308,36,1080.0
3873024,7543200,25,326.0
4026042,14654020,64,960.0
3912484,8286476,36,1008.0
3912484,14381500,25,1056.0
4012009,2595240,49,992.0
3777150,11833600,36,198.0
3783000,21436560,25,880.0
3788105,16567200,25,0.0
3982020,8708624,64,1216.0
3779100,16890390,25,240.0
3822025,9377280,25,330.0
4028049,11708886,49,872.0
3753750,9524352,25,210.0
3992004,14664026,49,286.0
4032064,11144188,36,308.0
3992004,32494446,81,2418.0
3976036,14563102,36,942.0
3724500,19039680,16,1296.0
3893890,16840880,36,180.0
4014012,29334800,49,904.0
3906246,9345000,25,305.0
3927748,340896000,36,778.0
3786900,7461200,25,215.0
4028049,22768000,64,2670.0
3865790,13706550,16,231.0
4008004,25795800,64,2295.0
4018020,3818400,49,960.0
3884841,2620800,25,880.0
4012009,17146560,36,1084.0
4022030,19870056,49,1276.0
4024036,31459188,64,1448.0
3974042,14246400,36,948.0
3945762,25471835,36,888.0
3998000,23829750,64,1042.0
3920231,8911350,25,308.0
3923685,5954400,25,392.0
3829914,9349200,36,0.0
3857700,3997248,25,1008.0
4014012,21228032,81,2622.0
4006002,44768100,64,2238.0
3970056,15350148,36,778.0
3888784,11824172,16,1176.0
3976036,28420061,64,1382.0
3773250,7088094,36,180.0
3943872,9135360,36,1008.0
3706950,6895520,25,216.0
3849444,6048000,25,336.0
3775200,17176720,36,240.0
4032064,20099408,81,2502.0
3916441,10772630,25,800.0
3932000,14900160,36,968.0
3776220,7830000,9,320.0
4016016,14179680,49,880.0
3814209,5616000,16,1152.0
4012009,5753769,64,1890.0
3974042,12311927,36,760.0
4012009,15773535,49,1116.0
3876961,17065824,25,1796.0
3861225,7154784,25,360.0
4032064,40553924,81,2574.0
3846222,10353000,49,312.0
4016016,6209440,49,2004.0
3998000,13875978,49,1154.0
3838450,7265240,25,308.0
3904252,10858645,16,308.0
3952144,30206171,49,2358.0
3974042,19369162,49,1148.0
4026042,23042592,100,2796.0
3757650,13270680,36,316.0
3994002,9454743,100,1692.0
3809500,19849984,25,1248.0
3794700,22117536,16,336.0
3974042,19254000,49,1950.0
3781050,8472000,36,280.0
3976036,9659430,25,440.0
3806401,12453760,25,256.0
4020025,27609040,81,3255.0
3724500,10549620,16,1056.0
3892504,15667200,36,338.0
4032064,30945488,100,2526.0
3837681,18333828,25,0.0
4006002,8881488,64,942.0
3884841,16928529,36,1050.0
3784950,10659176,25,256.0
3853369,15724800,25,1008.0
3829849,5568000,25,288.0
4022030,16722220,49,1156.0
3833764,10221120,36,288.0
3992004,18501600,49,1092.0
3825730,8681850,36,255.0
4024036,9035320,49,1264.0
4004001,5944780,81,1090.0
3878060,13693630,25,0.0
3984000,30629070,49,1180.0
3705000,17330922,16,684.0
3869089,24926940,49,1156.0
3822025,12220800,25,336.0
3775200,8386560,25,240.0
3753750,8699454,25,288.0
3865156,9398400,16,384.0
3796650,10311680,25,336.0
3761550,6948000,36,208.0
4020025,13606686,64,968.0
3837681,9201150,25,308.0
3884841,7232368,16,1920.0
3744000,11135520,36,0.0
4020025,24486056,36,860.0
3865156,6474448,25,408.0
3859704,22709440,49,282.0
4016016,3760880,36,840.0
3892473,20115000,16,304.0
3833764,19320000,36,1050.0
3724500,20405520,25,0.0
3954132,20659740,36,1042.0
3994002,5428220,36,1022.0
3865156,10508300,36,980.0
3865156,15545640,25,1128.0
4016016,15612485,49,1064.0
3936240,21257600,49,978.0
3761550,7088640,16,336.0
3916441,15782850,36,972.0
3998000,3811445,64,984.0
3814209,36987960,25,1298.0
3830750,15753600,49,1092.0
3990006,22529070,25,964.0
4014012,3760880,36,840.0
3873510,4806240,36,432.0
3978030,11912323,25,1344.0
4000000,8805160,64,998.0
3873024,19055504,16,0.0
3822025,7885440,16,0.0
3724500,17641800,4,280.0
4030056,13996906,49,968.0
3992004,5472000,36,804.0
3829849,14840280,36,384.0
3998000,2704320,49,924.0
3970056,6771727,25,1396.0
3873024,8615892,25,288.0
3745950,17613000,49,960.0
4034072,14917500,64,1034.0
3829849,16216200,25,299.0
4026042,5304034,49,1138.0
3908529,12873100,36,1260.0
3894520,20841965,36,1144.0
4032064,14094000,64,1500.0
3938184,31514912,49,1040.0
3998000,8748371,81,1012.0
4020025,15926134,64,1108.0
4032064,12946296,64,2430.0
3829593,11306250,25,1881.0
4002000,15892500,49,902.0
4020025,12096720,49,898.0
3814209,21042000,25,375.0
3927924,11189640,25,1152.0
3956021,14071200,36,956.0
3865156,10560000,49,880.0
3960100,27573031,49,1028.0
4010006,14031360,49,1064.0
3919824,25562265,36,940.0
4024036,30742488,49,2841.0
3874860,7044245,16,1440.0
3865156,14160300,36,884.0
3740100,4856220,9,0.0
3972049,22274522,36,4068.0
3908529,9807480,25,1152.0
4028049,11560320,64,1196.0
3910164,179566740,25,1248.0
4028049,4426560,49,1080.0
3984016,19272344,64,1000.0
3755700,5065000,36,160.0
4018020,30062340,64,2796.0
4022030,27209754,81,2028.0
4026042,21399408,100,2358.0
4018020,36971312,100,2847.0
3798600,6510816,16,265.0
4036081,9575916,36,1352.0
3986012,20111000,49,2448.0
3994002,15384976,49,1054.0
3833764,12838960,36,976.0
3802500,21360180,25,282.0
4018020,24438744,49,1356.0
3978030,24134205,49,966.0
3912484,38305776,49,1100.0
3802500,12664320,25,240.0
3900625,1906080,49,308.0
3806401,50000000,1,270.0
3960100,9662256,36,0.0
4036081,16224242,81,1434.0
3800550,12552540,25,2613.0
3889634,30599640,49,862.0
4024036,4210668,49,874.0
4008004,25030450,49,984.0
3908529,17556750,25,1078.0
3805700,8463694,16,281.0
3724500,14496000,16,1440.0
4020025,31325448,64,2187.0
4016016,15333192,64,2535.0
4004001,12230586,49,1054.0
4012009,13433931,49,1256.0
3705000,16858800,36,357.0
3896676,11148787,25,862.0
3898650,13903890,25,836.0
3829826,2970320,25,352.0
3751800,10521600,36,0.0
3888784,8761200,25,1104.0
3884841,6531840,25,1152.0
3705000,17030400,16,2337.0
3908529,11045840,36,358.0
3802500,12019200,36,288.0
3837681,9104788,25,672.0
3842300,8496600,64,228.0
4006002,18924840,81,2175.0
3869089,7771152,25,336.0
3794700,10445495,25,0.0
3978030,20236664,64,2271.0
3916441,6352300,25,888.0
3837681,22449840,25,308.0
3834666,10453455,36,225.0
3962090,24697015,36,946.0
4028049,9682826,49,924.0
3899896,15662400,25,230.0
3845521,17041759,25,880.0
3976036,8687250,25,299.0
3996001,4194970,64,960.0
3980025,13432320,25,1152.0
3908129,26113600,25,319.0
4028049,15482880,64,1180.0
3892729,1576848,16,297.0
3833764,8558550,25,338.0
3714750,10476864,9,216.0
3865156,12694000,25,960.0
3818090,18317164,64,1632.0
4030056,30849452,100,3660.0
3775200,8335515,16,327.0
4000000,34178640,64,2430.0
4022030,27708720,81,2385.0
3757650,8596560,36,384.0
4020025,14915152,36,968.0
3873024,12903696,25,940.0
3802810,9429000,25,0.0
3843218,5748488,25,240.0
3976036,11905080,36,944.0
3736200,7974720,9,0.0
4030056,18852560,64,2490.0
3945942,210031776,49,1478.0
3951975,22326140,25,880.0
3903615,5617280,9,240.0
3896676,3051176,36,880.0
3839575,4565000,49,164.0
3960100,10777611,49,968.0
3763500,6115200,16,0.0
4012009,10990140,49,876.0
3904576,8100000,36,352.0
3846832,23655500,49,180.0
3724500,6073644,25,200.0
3812360,18213044,16,0.0
4028049,20378820,64,2454.0
3974042,18257694,64,942.0
3753750,5734848,16,0.0
3904576,17302803,36,956.0
3944196,20498816,36,1232.0
3837681,9993600,25,270.0
3833764,13260268,25,1152.0
3858660,10032000,36,240.0
3876961,11174400,49,1056.0
3833764,7651350,25,294.0
3912484,7964902,36,1008.0
3724500,6994323,36,228.0
3911700,12835200,25,264.0
3978030,32135232,64,1424.0
3972049,15217918,49,944.0
4024036,9086400,36,1144.0
4022030,15359600,36,0.0
3847419,4636800,36,280.0
3884841,2187360,25,280.0
4020025,4135052,64,1100.0
4024036,42425943,81,2493.0
4008004,22404585,64,2571.0
4012009,4555010,49,956.0
3904576,11904084,49,1170.0
3841600,11016000,25,351.0
3986012,16336068,36,844.0
3943796,10492032,25,271.0
3818116,11516400,25,275.0
3994002,23161524,49,1082.0
4028049,12376416,36,880.0
3744000,4197960,25,0.0
3818116,21623205,16,996.0
3820800,3048951,25,180.0
4024036,18374976,64,2478.0
3907800,16128000,36,300.0
4020025,8831086,36,0.0
4000000,11361494,36,940.0
3927795,14368816,25,1176.0
3876961,16228200,16,800.0
3798600,96496400,25,1144.0
3833764,12601680,25,968.0
3904576,23963040,49,1100.0
3904576,10750941,49,1192.0
3908529,14784100,25,308.0
3998000,13257625,36,870.0
3818116,21489000,25,1040.0
4004001,13591956,64,980.0
3952143,21325701,49,1156.0
3806401,14533840,25,960.0
3825936,16645095,36,960.0
4028049,13881780,81,1114.0
3841600,13682760,36,352.0
3849444,5702400,25,294.0
4020025,11937744,49,820.0
3962090,12105499,49,994.0
3896676,37917180,49,1100.0
4028049,19039592,64,1156.0
3984016,8085244,25,1152.0
3857296,18815000,36,960.0
3908529,49491800,25,1200.0
3811400,14874034,25,840.0
4012009,10230000,49,800.0
3781050,6805380,16,264.0
3941904,8890328,25,288.0
3946182,28337400,49,1152.0
3988009,16675882,36,1368.0
3800550,7488000,16,840.0
3763200,22560000,25,786.0
3873024,15292800,25,1060.0
3841600,10064439,25,308.0
3861225,12078375,25,1008.0
3855260,14592000,36,364.0
4030056,19558512,64,2316.0
4024036,13049640,81,2697.0
4030056,15669920,64,2400.0
3845521,15719886,16,270.0
3859704,8726400,36,216.0
3800550,12873600,16,0.0
3666000,21879000,36,205.0
3757650,7776000,36,1152.0
3924361,44391666,64,1352.0
3953790,1612884,36,0.0
4001958,32453540,49,946.0
3984016,15015000,49,1024.0
3825936,7893990,25,267.0
3950156,12960000,25,0.0
4024036,13087048,64,984.0
3994002,17035200,49,1166.0
3798600,8796018,16,390.0
3992004,17422238,49,854.0
3892729,2407860,36,264.0
3761550,7803510,9,1320.0
4012009,14345760,49,1146.0
4020025,17331704,49,1206.0
4028049,39317010,100,3522.0
4018020,14655258,49,866.0
3976036,9652500,25,1056.0
3912484,8096364,25,1128.0
3838080,8383110,36,1004.0
4000000,16033030,36,884.0
4022030,3939600,36,1050.0
3753750,5834400,16,200.0
4022030,18165500,49,2388.0
4032064,16012016,49,1980.0
3888784,18616000,36,968.0
3912484,11255220,36,1152.0
3984016,17872032,49,956.0
3837681,17938400,25,894.0
3732300,7126272,9,0.0
3914252,18065760,36,880.0
4000000,4532976,36,880.0
3851605,8853658,36,240.0
4000000,18995242,49,1166.0
3968064,9032724,36,1128.0
3903792,9870336,36,280.0
3744000,7419600,16,338.0
3824000,9758892,25,0.0
4012009,175439616,64,2523.0
4024036,8572500,49,0.0
4026042,21761796,81,1680.0
3880371,10000352,25,240.0
3861225,12646810,25,288.0
3734250,24744570,16,1056.0
3905740,13464000,25,1056.0
3880900,9239400,25,954.0
3736200,14956500,49,225.0
4024036,9770840,64,968.0
3926036,14766382,25,960.0
3784950,6469320,25,200.0
3972049,35225415,64,2112.0
4024036,16165968,49,880.0
3982020,13894542,64,1056.0
4024036,16645032,81,2100.0
4008004,21728210,64,2076.0
3841600,10410400,25,336.0
3917770,53298752,49,878.0
4032064,18865260,81,2610.0
3747900,10539522,9,210.0
4026042,8261500,64,1056.0
4018020,6272906,49,964.0
4022030,3756480,49,876.0
4018020,4276575,49,990.0
3853369,11361600,36,311.0
3869089,19124024,36,1070.0
3825936,8068200,16,283.0
4024027,12131560,49,1240.0
4022030,20272936,64,1240.0
3874000,8982000,36,672.0
3786900,7113088,25,215.0
3853526,12879040,25,864.0
3996001,15512835,49,1154.0
3825936,18356520,25,313.0
3818430,36991920,36,0.0
3833764,4665600,25,399.0
4000000,13877500,49,1082.0
3849444,9196320,25,1080.0
4024036,16063740,64,2577.0
4016016,12730500,49,1140.0
4008004,17496660,49,1182.0
3921918,33285000,49,1134.0
4032064,16921548,64,2178.0
4032064,21968022,81,1184.0
3941868,7012200,25,288.0
3825260,8203840,25,336.0
3850350,6741504,25,360.0
3912484,10193152,25,1182.0
4016016,4310098,49,760.0
3747900,2996352,25,100.0
3978028,8407246,36,429.0
3906280,13976249,36,401.0
3861225,9502320,25,288.0
3935727,12109878,49,1176.0
3908529,11103840,16,0.0
3994002,21653056,49,1068.0
4022030,24445908,64,1520.0
4024036,8557500,49,968.0
3859929,5226480,49,1152.0
3792750,11318832,36,378.0
4022030,20788722,81,1042.0
3828480,7779530,16,1352.0
3986012,31626912,49,812.0
3908529,20230110,49,1010.0
4018020,24141564,49,868.0
4032064,14310000,64,1352.0
4012009,15340500,49,868.0
3775200,7944000,16,240.0
3857296,14499375,36,1152.0
3705000,31783200,25,1120.0
3872240,11052176,25,1024.0
4024036,15273604,49,880.0
3845521,8050000,25,288.0
3972049,23545116,49,2034.0
3837681,10048000,25,311.0
4024036,20801592,64,3159.0
3751800,9396000,25,900.0
3822025,5433904,16,0.0
4024036,13140000,64,1348.0
4018020,29661050,81,2316.0
4016016,13671360,36,786.0
4026042,17772331,64,2364.0
3888784,1658160,36,288.0
4024036,17187120,49,2604.0
3902390,13756800,25,882.0
4012009,3760880,36,840.0
3957804,1658160,36,264.0
3975892,6421155,16,720.0
3863475,11244672,49,1344.0
3865075,82160020,36,968.0
4026042,20031550,64,2568.0
4028049,16340400,64,2430.0
4020025,14901716,81,1128.0
3912484,18822672,36,880.0
3772440,16484580,25,912.0
3749850,9472680,36,216.0
4016016,12405022,49,988.0
4008004,15057504,64,836.0
4028049,13700368,64,948.0
3802500,7716960,36,306.0
3802500,8885760,9,800.0
3753750,9256720,25,5920.0
3888784,11003040,16,1152.0
4000000,25135000,64,1944.0
3853369,8478030,25,264.0
4012009,3760880,36,840.0
3825936,10639296,25,286.0
3876961,9636120,16,288.0
3884760,9959929,25,1012.0
3837681,27186560,16,1360.0
4026042,28322540,100,2172.0
3976036,25563120,64,2532.0
3996001,20265860,49,1194.0
3807600,13593600,36,800.0
4000000,13513344,36,920.0
4030056,16620492,49,960.0
4022030,24654336,81,2775.0
3993990,27495594,36,1228.0
3742050,7371000,25,0.0
3734250,13870080,9,0.0
3888784,22139312,36,1166.0
3897948,11095975,25,240.0
3948169,17167340,49,1056.0
3983847,26281164,64,1224.0
3929754,15621784,36,312.0
3962090,32246064,49,2103.0
3904576,3475160,25,336.0
3719664,12379500,64,0.0
3944196,49187944,64,1382.0
4024036,16613265,49,1278.0
3802500,7488000,25,1250.0
3798600,4734000,25,250.0
4016016,4146804,49,1176.0
3873024,13633284,36,924.0
3998000,16790232,64,1980.0
3833764,6153600,16,0.0
4032064,360450454,100,2836.0
3880900,5563392,25,1248.0
3900264,11410848,36,353.0
4036081,3672000,36,1056.0
4026042,8250000,36,0.0
3800550,27012160,36,940.0
