overall_qual_liv_area,overall_qual_squared,quality_and_age,overall_qual,house_total_sq,exter_qual_num,gr_liv_area,kitchen_qual_num,bsmt_qual_num,garage_area,garage_cars,total_bsmt_sf,year_remod_or_built,year_remod_or_built_sq,garage_finish,exterior_cond_and_qual
20192,64,15848,8,5048.0,4,2524,4,4.0,542.0,2.0,2524.0,3924361,15400609258321,0,12
12136,64,15600,8,2309.0,3,1517,4,4.0,400.0,2.0,792.0,3761550,14149258402500,2,9
11952,64,15968,8,2988.0,4,1494,5,4.0,481.0,2.0,1494.0,3982020,15856483280400,0,16
5688,36,11712,6,1896.0,3,948,3,3.0,410.0,2.0,948.0,3810304,14518416572416,2,9
13744,64,16064,8,3423.0,4,1718,4,5.0,826.0,3.0,1705.0,4030056,16241351363136,1,12
6852,36,11748,6,1302.0,3,1142,3,4.0,384.0,1.0,160.0,3833764,14697746407696,1,9
7375,25,9885,5,2232.0,3,1475,3,3.0,336.0,1.0,757.0,3908529,15276598943841,1,9
11064,36,11862,6,3688.0,3,1844,3,4.0,546.0,2.0,1844.0,3908529,15276598943841,1,9
8694,49,13811,7,2484.0,3,1242,3,3.0,528.0,2.0,1242.0,3892729,15153339067441,2,9
4950,25,9970,5,1980.0,3,990,3,4.0,384.0,1.0,990.0,3976036,15808862273296,2,12
6280,25,9825,5,2512.0,4,1256,3,3.0,276.0,1.0,1256.0,3861225,14909058500625,0,12
20760,100,20060,10,4152.0,5,2076,5,5.0,850.0,3.0,2076.0,4024036,16192865729296,0,15
5550,25,9890,5,2207.0,3,1110,4,4.0,602.0,2.0,1097.0,3912484,15307531050256,0,12
8975,25,9770,5,2845.0,3,1795,3,3.0,352.0,1.0,1050.0,3818116,14578009789456,2,9
5200,25,9825,5,2080.0,3,1040,3,3.0,384.0,1.0,1040.0,3861225,14909058500625,2,9
14984,64,15600,8,2481.0,3,1873,3,3.0,786.0,2.0,608.0,3773250,14237415562500,0,9
8020,25,9800,5,2588.0,3,1604,3,3.0,660.0,2.0,984.0,3804360,14473155009600,2,9
10514,49,14000,7,2278.0,3,1502,3,4.0,270.0,1.0,776.0,3862000,14915044000000,1,6
5315,25,9770,5,2119.0,3,1063,3,3.0,280.0,1.0,1056.0,3818116,14578009789456,1,9
11382,49,14028,7,2390.0,4,1626,4,4.0,474.0,2.0,764.0,4014012,16112292336144,1,12
9144,36,12000,6,2280.0,4,1524,4,4.0,440.0,2.0,756.0,4000000,16000000000000,2,12
7924,16,7800,4,3103.0,3,1981,4,3.0,576.0,2.0,1122.0,3759600,14134592160000,2,9
19488,49,13846,7,4176.0,3,2784,4,4.0,564.0,2.0,1392.0,3912484,15307531050256,1,9
4368,16,7880,4,1638.0,3,1092,3,3.0,0.0,0.0,546.0,3880900,15061384810000,3,9
9450,36,11706,6,1791.0,3,1575,4,3.0,400.0,2.0,216.0,3806401,14488688572801,2,9
8112,36,11814,6,2015.0,3,1352,3,3.0,299.0,1.0,663.0,3876961,15030826595521,0,9
8400,49,14035,7,1800.0,4,1200,4,4.0,480.0,2.0,600.0,4018020,16144484720400,1,12
4680,25,9875,5,1872.0,3,936,3,3.0,240.0,1.0,936.0,3859150,14893038722500,2,12
6240,36,11718,6,2080.0,3,1040,3,3.0,293.0,1.0,1040.0,3814209,14548190295681,0,9
9816,36,11976,6,2552.0,3,1636,3,4.0,386.0,2.0,916.0,3984016,15872383488256,0,9
18160,64,16056,8,3422.0,4,2270,4,4.0,671.0,3.0,1152.0,4011993,16096087832049,0,12
20880,64,16056,8,3794.0,4,2610,5,4.0,550.0,2.0,1184.0,4028049,16225178746401,0,12
10381,49,14007,7,2903.0,4,1483,3,4.0,690.0,2.0,1420.0,3955977,15649754024529,1,16
8700,25,9750,5,2676.0,2,1740,5,3.0,225.0,1.0,936.0,3744000,14017536000000,2,4
6910,25,9775,5,2764.0,3,1382,4,3.0,350.0,1.0,1382.0,3822025,14607875100625,2,9
5600,25,10035,5,2240.0,3,1120,3,4.0,0.0,0.0,1120.0,4028049,16225178746401,3,9
7686,49,13965,7,1629.0,3,1098,3,4.0,216.0,1.0,531.0,3850350,14825195122500,2,9
11956,49,14028,7,2684.0,4,1708,4,4.0,380.0,2.0,976.0,4016016,16128384512256,2,12
16218,81,18054,9,3604.0,5,1802,5,5.0,843.0,3.0,1802.0,4024036,16192865729296,0,15
10542,49,14035,7,2868.0,4,1506,4,4.0,440.0,2.0,1362.0,4020025,16160601000625,0,12
10556,49,14070,7,3016.0,4,1508,4,4.0,572.0,2.0,1508.0,4038090,16306170848100,1,12
14224,49,13979,7,3872.0,4,2032,4,5.0,786.0,3.0,1840.0,3986012,15888291664144,0,12
7164,36,11754,6,1849.0,3,1194,3,3.0,539.0,2.0,655.0,3837681,14727795457761,0,9
11963,49,14028,7,2679.0,4,1709,4,4.0,380.0,2.0,970.0,4016016,16128384512256,2,12
11312,49,14035,7,3232.0,4,1616,4,4.0,834.0,3.0,1616.0,4020025,16160601000625,1,12
4608,36,11700,6,1536.0,4,768,3,3.0,440.0,2.0,768.0,3763500,14163932250000,2,16
4360,25,9750,5,1744.0,3,872,2,3.0,322.0,1.0,872.0,3751800,14076003240000,2,9
2080,16,7800,4,1040.0,3,520,2,3.0,240.0,1.0,520.0,3757650,14119933522500,2,9
11370,25,9800,5,3379.0,3,2274,3,3.0,480.0,2.0,1105.0,3841600,14757890560000,2,9
8005,25,10015,5,2537.0,4,1601,3,3.0,0.0,0.0,936.0,3855775,14867000850625,3,16
6160,25,9750,5,1848.0,3,1232,3,3.0,480.0,2.0,616.0,3724500,13871900250000,2,9
20106,81,18081,9,4450.0,5,2234,5,5.0,1166.0,3.0,2216.0,4034072,16273736901184,0,15
7080,25,9750,5,2292.0,3,1416,3,3.0,720.0,3.0,876.0,3734250,13944623062500,2,9
3456,16,8024,4,1728.0,3,864,3,3.0,576.0,2.0,864.0,3953826,15632740038276,2,12
7134,36,11982,6,2378.0,3,1189,3,5.0,392.0,2.0,1189.0,3988009,15904215784081,1,9
14994,81,18054,9,3332.0,5,1666,4,5.0,575.0,2.0,1666.0,4024036,16192865729296,1,15
8400,49,14021,7,2376.0,4,1200,4,4.0,555.0,2.0,1176.0,4012009,16096216216081,1,12
4640,25,10000,5,1856.0,3,928,3,4.0,252.0,1.0,928.0,3912000,15303744000000,2,9
6680,25,9845,5,2624.0,3,1336,3,4.0,502.0,2.0,1288.0,3876961,15030826595521,1,9
8400,49,14028,7,1800.0,4,1200,4,4.0,480.0,2.0,600.0,4016016,16128384512256,1,12
8562,36,11814,6,2854.0,3,1427,3,3.0,516.0,2.0,1427.0,3876961,15030826595521,1,9
13944,49,14014,7,2852.0,4,1992,4,4.0,608.0,2.0,860.0,3995992,15967952064064,1,12
10780,49,13958,7,2294.0,4,1540,4,4.0,495.0,2.0,754.0,3976036,15808862273296,1,12
7675,25,9895,5,1535.0,3,1535,3,3.5861723446893787,400.0,2.0,0.0,3916441,15338510106481,2,9
5760,25,9820,5,2304.0,3,1152,3,3.0,484.0,2.0,1152.0,3857296,14878732431616,1,9
9208,64,16056,8,2292.0,4,1151,4,4.0,484.0,2.0,1141.0,4026042,16209014185764,0,12
6828,36,11760,6,2276.0,3,1138,3,3.0,480.0,2.0,1138.0,3841600,14757890560000,1,9
5370,25,9780,5,1968.0,3,1074,4,3.0,396.0,2.0,894.0,3825936,14637786276096,2,9
14049,81,18045,9,3122.0,5,1561,5,5.0,556.0,2.0,1561.0,4020025,16160601000625,0,15
21808,64,15960,8,4068.0,4,2726,4,4.0,725.0,3.0,1342.0,3980025,15840599000625,1,12
16956,81,18036,9,3768.0,5,1884,5,5.0,670.0,3.0,1884.0,4016016,16128384512256,0,15
2420,16,8008,4,1133.0,3,605,3,3.0,0.0,0.0,528.0,3843840,14775105945600,3,9
13368,64,16056,8,3097.0,5,1671,5,4.0,550.0,2.0,1426.0,3965832,15727823452224,1,25
2391,9,5850,3,1042.0,3,797,3,2.0,0.0,0.0,245.0,3705000,13727025000000,3,6
11766,36,12012,6,2765.0,3,1961,4,5.0,560.0,2.0,804.0,4006002,16048052024004,0,9
5965,25,9860,5,2346.0,3,1193,3,4.0,501.0,2.0,1153.0,3888784,15122640998656,0,9
9674,49,14000,7,2055.0,4,1382,4,4.0,490.0,2.0,673.0,4000000,16000000000000,2,12
15156,36,11700,6,3240.0,3,2526,4,3.0,216.0,1.0,714.0,3736200,13959190440000,2,12
8340,36,11742,6,3095.0,3,1390,5,4.0,550.0,2.0,1705.0,3829849,14667743362801,2,9
11382,49,14021,7,2390.0,4,1626,4,4.0,474.0,2.0,764.0,4012009,16096216216081,1,12
7790,25,9750,5,2248.0,3,1558,3,3.0,400.0,2.0,690.0,3781050,14296339102500,2,9
7110,25,9890,5,2400.0,3,1422,3,3.0,286.0,1.0,978.0,3876880,15030198534400,1,9
7865,25,9960,5,2651.0,3,1573,3,3.0,360.0,2.0,1078.0,3844560,14780641593600,2,9
6696,36,11772,6,2232.0,3,1116,3,3.0,440.0,2.0,1116.0,3849444,14818219109136,2,9
1320,4,3900,2,660.0,3,660,2,3.5861723446893787,0.0,0.0,0.0,3796650,14414551222500,3,9
10242,36,11988,6,2847.0,3,1707,3,3.0,479.0,2.0,1140.0,3952044,15618651777936,0,9
7330,25,9795,5,2932.0,3,1466,2,3.0,528.0,2.0,1466.0,3837681,14727795457761,0,9
14742,81,18000,9,3252.0,4,1638,5,4.0,495.0,2.0,1614.0,4000000,16000000000000,0,12
8605,25,9800,5,2709.0,3,1721,3,3.0,626.0,2.0,988.0,3841600,14757890560000,2,9
10584,36,11982,6,2692.0,3,1764,4,4.0,470.0,2.0,928.0,3988009,15904215784081,1,9
4980,25,9845,5,1992.0,3,996,3,3.0,0.0,0.0,996.0,3819860,14591330419600,3,9
6010,25,9780,5,2404.0,3,1202,3,3.0,304.0,1.0,1202.0,3825936,14637786276096,1,9
4940,25,9805,5,1976.0,3,988,3,3.0,572.0,2.0,988.0,3845521,14788031761441,2,9
5140,25,9750,5,2036.0,3,1028,3,3.0,360.0,2.0,1008.0,3757650,14119933522500,2,9
6420,25,9750,5,2004.0,3,1284,3,3.0,240.0,1.0,720.0,3796650,14414551222500,2,9
26496,81,17793,9,3938.0,4,2944,4,4.0,864.0,3.0,994.0,3908529,15276598943841,1,16
11312,64,16032,8,2121.0,4,1414,4,5.0,403.0,2.0,707.0,4016016,16128384512256,0,12
11263,49,13930,7,2246.0,3,1609,4,3.0,579.0,3.0,637.0,3844680,14781564302400,2,9
9150,36,11988,6,2338.0,3,1525,3,3.0,400.0,2.0,813.0,3990006,15920147880036,0,9
8280,25,9835,5,2280.0,2,1656,3,4.0,288.0,1.0,624.0,3869089,14969849689921,2,6
7385,49,13839,7,2110.0,3,1055,3,4.0,440.0,2.0,1055.0,3908529,15276598943841,2,9
6760,25,10030,5,2028.0,3,1352,4,3.0,720.0,2.0,676.0,3889634,15129252653956,2,12
8736,36,11862,6,2311.0,3,1456,3,4.0,440.0,2.0,855.0,3908529,15276598943841,2,9
13752,64,15944,8,3438.0,4,1719,4,4.0,473.0,2.0,1719.0,3972049,15777173258401,0,12
4320,25,9750,5,1728.0,3,864,3,3.0,0.0,0.0,864.0,3753750,14090639062500,3,9
5922,36,11838,6,1470.0,3,987,3,3.0,264.0,1.0,483.0,3892729,15153339067441,2,9
5100,25,9980,5,1800.0,3,1020,3,3.0,0.0,0.0,780.0,3742500,14006306250000,3,12
12432,64,16048,8,3108.0,4,1554,4,4.0,627.0,2.0,1554.0,4024036,16192865729296,1,12
33900,100,20060,10,4918.0,5,3390,5,5.0,758.0,3.0,1528.0,4024036,16192865729296,0,15
9360,36,12054,6,2340.0,4,1560,4,3.0,0.0,0.0,780.0,3841208,14754878899264,3,16
3456,16,7804,4,1728.0,3,864,3,3.0,400.0,2.0,864.0,3806401,14488688572801,2,9
11334,36,12000,6,2871.0,3,1889,3,4.0,431.0,2.0,982.0,4000000,16000000000000,0,9
5200,25,10050,5,2080.0,3,1040,3,3.0,260.0,1.0,1040.0,3943620,15552138704400,2,12
5860,25,9990,5,2344.0,3,1172,3,3.0,366.0,1.0,1172.0,3904092,15241934344464,0,9
11344,64,16080,8,3060.0,4,1418,4,5.0,852.0,3.0,1642.0,4040100,16322408010000,1,12
8202,36,11700,6,2251.0,3,1367,3,3.0,560.0,1.0,884.0,3765450,14178613702500,2,9
13454,49,14021,7,1922.0,4,1922,4,3.5861723446893787,672.0,2.0,0.0,4012009,16096216216081,1,12
8532,36,11886,6,2844.0,3,1422,4,4.0,576.0,2.0,1422.0,3924361,15400609258321,0,12
12894,49,14000,7,2827.0,4,1842,4,4.0,486.0,2.0,985.0,4000000,16000000000000,0,12
7848,16,7800,4,2850.0,3,1962,3,3.0,572.0,2.0,888.0,3734250,13944623062500,2,6
5600,25,10020,5,1984.0,4,1120,3,3.0,656.0,2.0,864.0,3939864,15522528338496,1,12
25812,81,18054,9,4860.0,4,2868,5,5.0,716.0,3.0,1992.0,4022030,16176725320900,0,12
8868,36,11742,6,2956.0,3,1478,3,3.0,442.0,2.0,1478.0,3829849,14667743362801,1,9
13965,49,13972,7,2925.0,4,1995,4,4.0,610.0,2.0,930.0,3982020,15856483280400,1,16
4560,25,9925,5,1824.0,3,912,3,3.0,297.0,1.0,912.0,3886630,15105892756900,0,9
7956,36,12030,6,2652.0,3,1326,4,4.0,388.0,2.0,1326.0,4020025,16160601000625,0,9
9632,64,15896,8,2395.0,3,1204,3,4.0,461.0,2.0,1191.0,3948169,15588038452561,1,9
9666,36,11784,6,2391.0,3,1611,3,3.0,442.0,2.0,780.0,3857296,14878732431616,1,9
3840,16,7880,4,1920.0,3,960,3,3.0,576.0,2.0,960.0,3880900,15061384810000,2,9
6180,25,9980,5,2306.0,3,1236,4,3.0,447.0,1.0,1070.0,3906172,15258179693584,2,9
7080,25,10035,5,2232.0,3,1416,4,3.0,576.0,2.0,816.0,3849426,14818080529476,2,12
13111,49,13916,7,2802.0,4,1873,4,4.0,619.0,2.0,929.0,3952144,15619442196736,1,12
10640,25,9750,5,3168.0,3,2128,3,3.0,0.0,0.0,1040.0,3747900,14046754410000,3,9
11382,49,14028,7,2390.0,4,1626,4,4.0,474.0,2.0,764.0,4014012,16112292336144,1,12
4080,25,9785,5,1632.0,3,816,3,3.0,308.0,1.0,816.0,3829849,14667743362801,2,9
5560,25,9880,5,1648.0,3,1112,3,4.0,336.0,1.0,536.0,3904576,15245713739776,2,9
7777,49,13650,7,1683.0,3,1111,3,3.0,288.0,1.0,572.0,3755700,14105282490000,2,9
8646,36,11868,6,2296.0,3,1441,3,3.0,440.0,2.0,855.0,3912484,15307531050256,2,9
3696,16,7800,4,1596.0,3,924,2,4.0,280.0,1.0,672.0,3784950,14325846502500,2,6
5630,25,9920,5,2186.0,3,1126,3,4.0,506.0,2.0,1060.0,3936256,15494111297536,2,9
4960,25,9770,5,1373.0,3,992,3,2.0,319.0,1.0,381.0,3818116,14578009789456,2,12
8256,36,11700,6,2144.0,3,1376,4,3.0,576.0,2.0,768.0,3744000,14017536000000,2,12
8526,49,14070,7,2436.0,4,1218,4,4.0,676.0,2.0,1218.0,4038090,16306170848100,1,12
8220,25,9975,5,2372.0,3,1644,4,3.0,312.0,1.0,728.0,3874290,15010123004100,2,9
11207,49,13846,7,2872.0,3,1601,3,4.0,478.0,2.0,1271.0,3912484,15307531050256,1,9
17465,49,13993,7,3808.0,3,2495,3,3.0,342.0,2.0,1313.0,3778110,14274115172100,2,9
9054,36,12018,6,2292.0,4,1509,4,4.0,393.0,2.0,783.0,4010006,16080148120036,0,12
5460,25,9810,5,2184.0,3,1092,3,3.0,288.0,1.0,1092.0,3849444,14818219109136,2,9
16926,49,13958,7,3729.0,4,2418,4,4.0,983.0,3.0,1311.0,3974042,15793009817764,1,12
5922,36,11826,6,1470.0,3,987,3,3.0,264.0,1.0,483.0,3884841,15091989595281,2,9
4484,16,8016,4,2242.0,3,1121,3,4.0,440.0,2.0,1121.0,4014012,16112292336144,1,9
7416,36,11976,6,2148.0,3,1236,3,3.0,923.0,2.0,912.0,3906172,15258179693584,2,9
5370,25,9875,5,2130.0,3,1074,3,4.0,495.0,2.0,1056.0,3900625,15214875390625,1,9
733,1,1952,1,733.0,2,733,2,3.5861723446893787,487.0,2.0,0.0,3810304,14518416572416,2,0
12376,49,14021,7,2652.0,4,1768,4,4.0,543.0,2.0,884.0,4012009,16096216216081,1,12
8862,49,14035,7,2523.0,4,1266,4,4.0,453.0,2.0,1257.0,4020025,16160601000625,2,12
22976,64,16000,8,4555.0,4,2872,4,4.0,541.0,2.0,1683.0,3984000,15872256000000,0,12
11712,64,16056,8,2949.0,4,1464,4,4.0,754.0,3.0,1485.0,4028049,16225178746401,2,12
15099,49,13762,7,3081.0,3,2157,4,3.0,487.0,2.0,924.0,3865156,14939430904336,0,9
20608,64,16048,8,3810.0,5,2576,5,5.0,666.0,3.0,1234.0,4024036,16192865729296,0,15
25182,81,18054,9,4196.0,4,2798,5,5.0,670.0,3.0,1398.0,4022030,16176725320900,0,20
13944,64,15808,8,2709.0,4,1743,4,4.0,529.0,2.0,966.0,3904576,15245713739776,0,12
9402,36,11862,6,3134.0,3,1567,4,3.0,714.0,2.0,1567.0,3908529,15276598943841,1,9
9590,49,13832,7,2460.0,3,1370,3,4.0,479.0,2.0,1090.0,3904576,15245713739776,1,9
13170,25,9845,5,3882.0,3,2634,3,3.0,968.0,4.0,1248.0,3876961,15030826595521,2,9
12720,64,16048,8,3160.0,4,1590,5,5.0,754.0,3.0,1570.0,4022030,16176725320900,0,12
10150,49,14063,7,2900.0,4,1450,4,4.0,788.0,3.0,1450.0,4034072,16273736901184,1,12
8028,36,11700,6,2170.0,3,1338,3,2.0,528.0,2.0,832.0,3734250,13944623062500,2,6
10192,49,14049,7,2184.0,4,1456,4,4.0,400.0,2.0,728.0,4028049,16225178746401,0,12
23920,100,20030,10,4784.0,5,2392,5,5.0,968.0,3.0,2392.0,4012009,16096216216081,0,15
3968,16,7880,4,1522.0,3,992,3,4.0,297.0,1.0,530.0,3880900,15061384810000,0,9
20070,100,20080,10,3024.0,5,2007,5,5.0,812.0,3.0,1017.0,4032064,16257540100096,0,15
16695,49,13986,7,3451.0,4,2385,4,4.0,600.0,3.0,1066.0,3992004,15936095936016,0,12
11522,49,13650,7,2564.0,3,1646,3,3.0,240.0,1.0,918.0,3784950,14325846502500,2,12
10192,49,14049,7,2184.0,4,1456,4,4.0,400.0,2.0,728.0,4028049,16225178746401,0,12
5200,25,9900,5,1568.0,3,1040,3,3.0,624.0,2.0,528.0,3833280,14694035558400,0,9
15744,36,11700,6,3994.0,3,2624,3,4.0,864.0,3.0,1370.0,3740100,13988348010000,2,9
6320,25,9885,5,2332.0,3,1264,3,3.0,528.0,2.0,1068.0,3884805,15091709888025,2,9
10899,49,14028,7,2931.0,4,1557,4,4.0,420.0,2.0,1374.0,4014012,16112292336144,0,12
7722,36,11862,6,2244.0,3,1287,3,4.0,541.0,2.0,957.0,3908529,15276598943841,1,9
6024,36,11820,6,2008.0,3,1004,3,3.0,480.0,2.0,1004.0,3880900,15061384810000,0,9
8134,49,14049,7,2324.0,4,1162,4,4.0,483.0,2.0,1162.0,4028049,16225178746401,0,12
10052,49,14063,7,2872.0,4,1436,4,5.0,529.0,2.0,1436.0,4034072,16273736901184,0,12
4800,25,10015,5,1920.0,3,960,4,3.0,300.0,1.0,960.0,3931889,15459751108321,0,12
5980,25,9840,5,2392.0,3,1196,3,4.0,336.0,1.0,1196.0,3873024,15000314904576,1,9
10152,64,16040,8,2525.0,4,1269,4,4.0,430.0,2.0,1256.0,4018020,16144484720400,0,12
5155,25,10025,5,2062.0,4,1031,4,3.0,230.0,1.0,1031.0,3913760,15317517337600,2,12
2880,16,7992,4,1168.0,3,720,2,2.0,280.0,1.0,448.0,3796200,14411134440000,2,12
9030,36,11718,6,3010.0,3,1505,3,3.0,505.0,2.0,1505.0,3814209,14548190295681,1,9
4770,25,9750,5,1874.0,3,954,2,2.0,240.0,1.0,920.0,3779100,14281596810000,2,12
9000,36,12036,6,2250.0,3,1500,4,4.0,564.0,2.0,750.0,4022030,16176725320900,1,9
5250,25,9805,5,2100.0,3,1050,3,3.0,368.0,1.0,1050.0,3845521,14788031761441,2,9
21496,64,15952,8,4749.0,4,2687,4,4.0,618.0,2.0,2062.0,3976036,15808862273296,0,12
7512,36,11850,6,2854.0,3,1252,3,4.0,564.0,2.0,1602.0,3871000,14984641000000,1,9
10010,49,14000,7,1814.0,3,1430,3,4.0,400.0,2.0,384.0,3998000,15984004000000,1,9
5570,25,10020,5,2228.0,3,1114,4,4.0,576.0,2.0,1114.0,4014012,16112292336144,2,9
7344,36,11994,6,2448.0,3,1224,3,5.0,402.0,2.0,1224.0,3996001,15968023992001,0,9
22536,81,18063,9,3626.0,4,2504,5,4.0,656.0,3.0,1122.0,4024035,16192857681225,0,12
6775,25,9750,5,2083.0,3,1355,3,3.0,528.0,2.0,728.0,3784950,14325846502500,2,9
13764,36,11778,6,3035.0,3,2294,3,3.0,658.0,2.0,741.0,3853369,14848452650161,2,9
15318,81,18072,9,3404.0,5,1702,5,5.0,1052.0,3.0,1702.0,4032064,16257540100096,0,15
9054,36,11934,6,2970.0,4,1509,4,4.0,600.0,2.0,1461.0,3954132,15635159873424,1,12
12019,49,13790,7,2473.0,3,1717,4,3.0,642.0,3.0,756.0,3772550,14232133502500,2,9
8680,49,13895,7,2505.0,3,1240,4,4.0,528.0,2.0,1265.0,3940225,15525373050625,2,9
8162,49,14035,7,2022.0,4,1166,4,4.0,400.0,2.0,856.0,4020025,16160601000625,0,12
7320,25,10010,5,1968.0,4,1464,3,3.0,0.0,0.0,504.0,3823820,14621599392400,3,12
9912,36,11946,6,3244.0,3,1652,4,3.0,510.0,2.0,1592.0,3900369,15212878336161,1,12
12852,36,11808,6,3038.0,3,2142,4,4.0,509.0,1.0,896.0,3873024,15000314904576,0,12
6552,36,11784,6,2184.0,3,1092,3,4.0,504.0,2.0,1092.0,3857296,14878732431616,1,9
11697,49,13650,7,2693.0,4,1671,3,3.0,451.0,2.0,1022.0,3761550,14149258402500,2,16
7440,25,10010,5,1488.0,3,1488,3,3.5861723446893787,569.0,2.0,0.0,3907904,15271713673216,1,9
8120,25,9760,5,3068.0,3,1624,3,3.0,240.0,1.0,1444.0,3810304,14518416572416,1,12
8172,36,12036,6,2724.0,4,1362,4,4.0,460.0,2.0,1362.0,4022030,16176725320900,1,12
8526,49,14056,7,2436.0,4,1218,4,4.0,462.0,2.0,1218.0,4030056,16241351363136,0,12
6408,36,11700,6,2192.0,3,1068,3,2.0,288.0,1.0,1124.0,3749850,14061375022500,2,9
9750,36,11874,6,3250.0,3,1625,2,4.0,576.0,2.0,1625.0,3916441,15338510106481,0,9
12369,49,13909,7,2831.0,4,1767,4,4.0,504.0,2.0,1064.0,3948169,15588038452561,1,16
6300,36,12000,6,2100.0,3,1050,4,3.0,286.0,1.0,1050.0,3908000,15272464000000,1,12
3628,16,7828,4,1814.0,3,907,3,3.0,352.0,1.0,907.0,3829849,14667743362801,2,9
1690,4,3900,2,845.0,3,845,3,3.5861723446893787,256.0,1.0,0.0,3781050,14296339102500,2,9
20008,64,15960,8,3743.0,4,2501,4,4.0,751.0,3.0,1242.0,3980025,15840599000625,1,12
6045,25,9830,5,2418.0,3,1209,3,4.0,504.0,2.0,1209.0,3865156,14939430904336,1,9
3624,16,7800,4,1254.0,3,906,3,3.0,231.0,1.0,348.0,3777150,14266862122500,2,9
12808,64,16016,8,3182.0,4,1601,4,4.0,670.0,2.0,1581.0,4006002,16048052024004,1,12
9352,49,14042,7,2672.0,4,1336,4,4.0,502.0,2.0,1336.0,4022030,16176725320900,2,12
6624,16,7940,4,2457.0,3,1656,3,3.0,440.0,2.0,801.0,3850900,14829430810000,2,12
5620,25,9770,5,1124.0,3,1124,3,3.5861723446893787,0.0,0.0,0.0,3818116,14578009789456,3,9
13244,49,14007,7,2874.0,4,1892,3,4.0,431.0,2.0,982.0,4002000,16016004000000,1,12
5097,9,5910,3,2677.0,3,1699,3,2.0,420.0,2.0,978.0,3743000,14010049000000,2,9
8496,36,11700,6,2196.0,3,1416,3,3.0,312.0,1.0,780.0,3798600,14429361960000,2,9
3918,9,5898,3,2034.0,3,1306,2,3.0,0.0,0.0,728.0,3814040,14546901121600,3,0
